scenario,policy,statistical_power,decision_power,gap
easy_large_win,statistical_superiority,0.9923871252891384,1.0,0.0076128747108615835
easy_large_win,practical_significance,0.9923871252891384,0.99,-0.0023871252891384254
easy_large_win,economic_break_even,0.9923871252891384,1.0,0.0076128747108615835
easy_large_win,risk_adjusted_expected_value,0.9923871252891384,1.0,0.0076128747108615835
near_break_even,statistical_superiority,0.5328459702607454,0.69,0.15715402973925452
near_break_even,practical_significance,0.5328459702607454,0.04,-0.49284597026074545
near_break_even,economic_break_even,0.5328459702607454,0.04,-0.49284597026074545
near_break_even,risk_adjusted_expected_value,0.5328459702607454,0.04,-0.49284597026074545
misspecified_value,statistical_superiority,0.08909277472000245,0.16,0.07090722527999756
misspecified_value,practical_significance,0.08909277472000245,0.06,-0.02909277472000245
misspecified_value,economic_break_even,0.08909277472000245,0.15,0.06090722527999755
misspecified_value,risk_adjusted_expected_value,0.08909277472000245,0.15,0.06090722527999755
